# jours_ecoules 	 nombreTotalContaminesGrippe 	 nombreTotalContaminesAgentPathogene()
1	0	79981
2	0	80183
3	0	85864
4	0	92521
5	0	99447
6	0	106868
7	0	114505
8	0	122588
9	0	131031
10	0	139619
11	0	148432
12	0	157394
13	0	166535
14	0	175714
15	0	184440
16	0	192884
17	0	200430
18	0	207209
19	0	213132
20	0	217980
21	0	221572
22	0	224178
23	0	225821
24	0	226524
25	0	226653
26	0	226168
27	0	225556
28	0	224634
29	0	223774
30	0	222949
31	0	222244
32	0	221093
33	0	220313
34	0	219803
35	0	219096
36	0	219050
37	0	218451
38	0	218296
39	0	218156
40	0	217864
41	0	217414
42	0	217161
43	0	217021
44	0	216758
45	0	216545
46	0	216451
47	0	216404
48	0	216225
49	0	216259
50	0	216059
51	0	216112
52	0	216205
53	0	216158
54	0	216189
55	0	216208
56	0	216316
57	0	216731
58	0	216844
59	0	217004
60	0	217306
61	0	217396
62	0	217379
63	0	217363
64	0	217391
65	0	217409
66	0	217646
67	0	217710
68	0	217783
69	0	217581
70	0	217750
71	0	217814
72	0	218192
73	19	218051
74	25	217879
75	29	217719
76	55	217781
77	64	217897
78	81	217784
79	111	218082
80	156	217972
81	193	217913
82	245	218050
83	333	218017
84	442	218146
85	546	218015
86	689	218049
87	858	217946
88	1070	217737
89	1262	217882
90	1554	217980
91	1828	217878
92	2142	218030
93	2484	218041
94	2834	218040
95	3136	217880
96	3439	218004
97	3867	218021
98	4263	218015
99	4646	217780
100	5135	217759
101	5583	217772
102	5964	217716
103	6405	217840
104	6832	217908
105	7232	217979
106	7703	218086
107	8072	218080
108	8604	218203
109	9056	217988
110	9523	217907
111	9901	217995
112	10303	217813
113	10670	217775
114	11076	217612
115	11441	217832
116	11892	217839
117	12297	217650
118	12620	217807
119	12937	217841
120	13163	217699
121	13665	217756
122	14005	217800
123	14342	217732
124	14507	217653
125	14625	217674
126	15003	217750
127	15282	217636
128	15388	217751
129	15659	217878
130	15851	217869
131	16164	217621
132	16236	217531
133	16396	217525
134	16575	217471
135	16676	217515
136	16841	217786
137	16972	217660
138	17003	217760
139	17175	217806
140	17034	217885
141	17100	218150
142	17172	218286
143	17302	218090
144	17410	218070
145	17442	218123
146	17588	217971
147	17572	217838
148	17829	217912
149	17733	217991
150	17785	218018
151	17600	217994
152	17504	217866
153	17473	217850
154	17440	217987
155	17373	218136
156	17214	218185
157	17136	218056
158	16998	218184
159	16830	218131
160	16683	217908
161	16445	217883
162	16260	217975
163	16073	217964
164	15783	217928
165	15271	217840
166	14822	217870
167	14388	217692
168	13855	217541
169	13537	217371
170	13010	217422
171	12363	217084
172	11882	216876
173	11230	216803
174	10614	216836
175	10084	216956
176	9433	217050
177	8841	216856
178	8376	216881
179	7815	216889
180	7187	216727
181	6742	216734
182	6275	216544
183	5802	216418
184	5445	216596
185	5079	216523
186	4764	216296
187	4521	216476
188	4253	216641
189	4116	216784
190	3926	216819
191	3839	216769
192	3686	217037
193	3584	216943
194	3443	216887
195	3395	216836
196	3316	216851
197	3265	216750
198	3174	216606
199	3061	216666
200	2984	216639
201	2862	216749
202	2817	216657
203	2789	216952
204	2683	216898
205	2654	217163
206	2606	217327
207	2482	217224
208	2451	217136
209	2377	217106
210	2265	217123
211	2146	217185
212	2052	217357
213	1965	217468
214	1873	217647
215	1775	217633
216	1726	217555
217	1662	217827
218	1620	217962
219	1542	217788
220	1466	217622
221	1405	217473
222	1343	217641
223	1278	217662
224	1232	217523
225	1160	217655
226	1070	217806
227	1000	217516
228	938	217636
229	922	217829
230	841	217610
231	786	217640
232	718	217627
233	647	217687
234	576	217736
235	475	217807
236	394	217839
237	311	217570
238	253	217887
239	211	217843
240	174	217906
241	133	218077
242	106	218407
243	85	218454
244	60	218389
245	45	218160
246	34	218054
247	27	217927
248	20	217987
249	15	218001
250	13	217977
251	9	218141
252	7	218216
253	8	218370
254	6	218434
255	3	218483
256	3	218588
257	3	218366
258	2	218441
259	1	218439
260	0	218503
261	0	218407
262	0	218515
263	0	218363
264	0	218314
265	0	218036
266	0	217894
267	0	217915
268	0	217892
269	0	217752
270	0	217806
271	0	217616
272	0	217660
273	0	217798
274	0	217891
275	0	217769
276	0	218088
277	0	217988
278	0	218231
279	0	218308
280	0	218050
281	0	217941
282	0	218003
283	0	217994
284	0	218085
285	0	218029
286	0	218059
287	0	218205
288	0	218232
289	0	218280
290	0	218139
291	0	218148
292	0	218319
293	0	218276
294	0	218067
295	0	217997
296	0	218116
297	0	218109
298	0	218216
299	0	218244
300	0	218268
301	0	218217
302	0	218338
303	0	218535
304	0	218723
305	0	218855
306	0	218823
307	0	218588
308	0	218539
309	0	218461
310	0	218617
311	0	218194
312	0	218059
313	0	217949
314	0	217946
315	0	218214
316	0	218197
317	0	218085
318	0	218032
319	0	218234
320	0	218167
321	0	218056
322	0	218202
323	0	218120
324	0	218037
325	0	218210
326	0	218086
327	0	217902
328	0	217932
329	0	217927
330	0	217950
331	0	218037
332	0	217833
333	0	217879
334	0	217860
335	0	218010
336	0	217980
337	0	218074
338	0	218006
339	0	218021
340	0	218264
341	0	218184
342	0	218079
343	0	217880
344	0	217794
345	0	217875
346	0	217729
347	0	217904
348	0	218070
349	0	218075
350	0	217918
351	0	217953
352	0	217703
353	0	217788
354	0	217687
355	0	217572
356	0	217504
357	0	217333
358	0	217231
359	0	217346
360	0	217657
361	0	217746
362	0	217873
363	0	217882
364	0	218095
365	0	218092
366	0	218072
367	0	218033
368	0	217620
369	0	217563
370	0	217661
371	0	217831
372	0	218071
373	0	218102
374	0	218099
375	0	218014
376	0	217927
377	0	217756
378	0	217612
379	0	217576
380	0	217358
381	0	217455
382	0	217592
383	0	217749
384	0	218006
385	0	217989
386	0	217897
387	0	217918
388	0	217847
389	0	217651
390	0	217543
391	0	217765
392	0	217856
393	0	217658
394	0	217517
395	0	217371
396	0	217636
397	0	217536
398	0	217526
399	0	217492
400	0	217604
401	0	217532
402	0	217624
403	0	217632
404	0	217572
405	0	217562
406	0	217451
407	0	217469
408	0	217507
409	0	217410
410	0	217189
