# jours_ecoules 	 nombreTotalContaminesGrippe 	 nombreTotalContaminesAgentPathogene()
1	0	79926
2	0	80357
3	0	85293
4	0	91018
5	0	97363
6	0	104183
7	0	111375
8	0	118983
9	0	126929
10	0	135262
11	0	143664
12	0	152338
13	0	161142
14	0	170166
15	0	178838
16	0	187139
17	0	194843
18	0	201742
19	0	207696
20	0	212660
21	0	216423
22	0	219233
23	0	221055
24	0	222054
25	0	222709
26	0	222777
27	0	222396
28	0	221932
29	0	221308
30	0	221031
31	0	220393
32	0	220052
33	0	219818
34	0	219824
35	0	219610
36	0	219365
37	0	219385
38	0	219150
39	0	219181
40	0	219094
41	0	219075
42	0	218869
43	0	218947
44	0	218718
45	0	218397
46	0	218355
47	0	218117
48	0	218238
49	0	217881
50	0	217905
51	0	217905
52	0	218192
53	0	218029
54	0	218056
55	0	218029
56	0	218111
57	0	217935
58	0	217615
59	0	217676
60	0	217846
61	0	217968
62	0	217810
63	0	217712
64	0	217653
65	0	217849
66	0	217911
67	0	218015
68	0	217999
69	0	217786
70	0	217565
71	0	217838
72	0	218156
73	16	218176
74	19	218214
75	24	218252
76	39	218148
77	45	218439
78	52	218067
79	69	218170
80	95	218187
81	136	218320
82	161	218304
83	212	218570
84	286	218355
85	365	218374
86	477	218126
87	576	218024
88	694	217936
89	862	217592
90	1100	217781
91	1279	218076
92	1570	218115
93	1869	218079
94	2158	217991
95	2483	217952
96	2723	218080
97	3046	218290
98	3303	218706
99	3643	219013
100	3982	218937
101	4297	218712
102	4638	218338
103	4939	218572
104	5248	218579
105	5550	218567
106	5888	218328
107	6281	218152
108	6629	218079
109	6853	218330
110	7295	218469
111	7676	218683
112	8057	218517
113	8310	218513
114	8639	218612
115	8966	218641
116	9338	218467
117	9740	218423
118	10155	217880
119	10582	217890
120	10928	218118
121	11340	217957
122	11714	217848
123	12126	217620
124	12499	217350
125	12755	217419
126	13123	217536
127	13550	217782
128	13907	217652
129	14194	217500
130	14606	217155
131	14802	217392
132	15198	217351
133	15680	217531
134	16263	217640
135	16568	217210
136	16659	217166
137	17072	217038
138	17150	217233
139	17455	217166
140	17842	217121
141	18057	217179
142	18109	217625
143	18157	217659
144	18358	217785
145	18720	217619
146	18682	217349
147	18563	217338
148	18502	217721
149	18817	217984
150	18814	217608
151	18705	217538
152	19026	217828
153	18850	217910
154	18853	217956
155	18896	217830
156	18841	217799
157	18650	217690
158	18819	217554
159	18703	217656
160	18538	218032
161	18668	217988
162	18501	217779
163	18344	217694
164	18019	217870
165	17693	217914
166	17241	217876
167	16919	217739
168	16352	217457
169	15901	217464
170	15403	217419
171	14716	217393
172	14301	217009
173	13846	217254
174	13424	217172
175	12808	217447
176	12348	217640
177	11690	217792
178	11122	218029
179	10447	217781
180	9783	217756
181	8996	217573
182	8560	217775
183	7884	217727
184	7360	217781
185	6840	217357
186	6213	217379
187	5741	217827
188	5274	217270
189	4931	217175
190	4559	216860
191	4174	217263
192	3768	217207
193	3478	217098
194	3229	217114
195	3014	216836
196	2773	217285
197	2542	217160
198	2425	217410
199	2291	217777
200	2143	217864
201	2008	217709
202	1939	217619
203	1893	217910
204	1837	218172
205	1775	217782
206	1755	217747
207	1678	217628
208	1613	217199
209	1582	217472
210	1540	217431
211	1503	217584
212	1441	217686
213	1344	217513
214	1233	217409
215	1172	217405
216	1121	217045
217	1066	217017
218	1011	216836
219	986	216903
220	969	217208
221	929	217350
222	906	217319
223	863	217323
224	851	217394
225	840	217268
226	794	217294
227	775	217316
228	745	217536
229	679	217527
230	679	217504
231	654	217663
232	606	217765
233	578	217634
234	528	217760
235	455	217635
236	390	217514
237	330	217384
238	294	217638
239	250	217490
240	214	217671
241	163	217626
242	115	217317
243	88	217766
244	67	217803
245	49	217837
246	40	218162
247	27	218101
248	16	217593
249	10	217370
250	12	217391
251	9	217012
252	8	217199
253	8	217177
254	5	217309
255	3	216897
256	2	216749
257	1	216861
258	1	216727
259	0	216827
260	1	216650
261	1	216609
262	1	216539
263	1	216742
264	1	216961
265	0	216927
266	0	217104
267	0	217211
268	0	217185
269	0	217320
270	0	217559
271	0	217670
272	0	217585
273	0	217717
274	0	217624
275	0	217414
276	0	217358
277	0	217272
278	0	217527
279	0	217374
280	0	217337
281	0	217400
282	0	217581
283	0	217718
284	0	217900
285	0	217913
286	0	218067
287	0	218266
288	0	218012
289	0	217882
290	0	217633
291	0	217396
292	0	217337
293	0	217408
294	0	217700
295	0	217543
296	0	217498
297	0	217855
298	0	217787
299	0	217549
300	0	217436
301	0	217449
302	0	217838
303	0	217613
304	0	217696
305	0	217971
306	0	218277
307	0	218426
308	0	218328
309	0	218312
310	0	218014
311	0	217799
312	0	217855
313	0	217856
314	0	217999
315	0	218140
316	0	218070
317	0	218336
318	0	218201
319	0	218250
320	0	218257
321	0	217958
322	0	218021
323	0	218157
324	0	218215
325	0	218195
326	0	218226
327	0	218336
328	0	218308
329	0	218225
330	0	218262
331	0	218470
332	0	218225
333	0	218246
334	0	218061
335	0	218225
336	0	218312
337	0	217598
338	0	217386
339	0	217656
340	0	217885
341	0	217791
342	0	217572
343	0	217345
344	0	217255
345	0	217293
346	0	217106
347	0	217087
348	0	217158
349	0	217211
350	0	217315
351	0	217432
352	0	217514
353	0	217689
354	0	217706
355	0	217551
356	0	217346
357	0	216819
358	0	216808
359	0	216745
360	0	217163
361	0	217304
362	0	217625
363	0	217497
364	0	217490
365	0	217149
366	0	217179
367	0	217052
368	0	217086
369	0	217362
370	0	217412
371	0	217699
372	0	217800
373	0	218140
374	0	218134
375	0	218206
376	0	218149
377	0	218238
378	0	218149
379	0	217999
380	0	218128
381	0	218264
382	0	218359
383	0	218527
384	0	218512
385	0	218299
386	0	218182
387	0	218259
388	0	218160
389	0	218179
390	0	218140
391	0	217883
392	0	218075
393	0	217923
394	0	218133
395	0	217990
396	0	217812
397	0	217572
398	0	217243
399	0	217096
400	0	217390
401	0	217259
402	0	216997
403	0	217174
404	0	217125
405	0	217219
406	0	217255
407	0	217534
408	0	217262
409	0	217332
410	0	217348
411	0	217473
412	0	217351
413	0	217628
414	0	217652
415	0	218103
416	0	218390
417	0	218501
418	0	218553
419	0	218591
420	0	218577
421	0	218249
422	0	218002
423	0	218095
424	0	218132
425	0	218333
426	0	217982
427	0	217920
428	0	217608
429	0	217542
430	0	217392
431	0	217324
432	0	217250
433	0	217420
434	0	217397
435	0	217397
436	0	217392
437	0	217493
438	16	217525
439	19	217465
440	35	217477
441	46	217407
442	55	217236
443	69	217353
444	94	217606
445	138	217215
446	152	217143
447	193	217174
448	261	217270
449	313	217305
450	397	217242
451	506	217218
452	620	217403
453	768	217350
454	983	217319
455	1170	217654
456	1414	217724
457	1712	217712
458	1917	217608
459	2263	217788
460	2547	217788
461	2795	217912
462	3080	217781
463	3346	217946
464	3754	218098
465	3924	218146
466	4311	218112
467	4650	218431
468	4809	218502
469	5100	218490
470	5401	218137
471	5662	218233
472	5923	218105
473	6205	218009
474	6368	218147
475	6707	218157
476	7051	218250
477	7358	218244
478	7663	218211
479	7901	218133
480	8214	218174
481	8664	218334
482	8995	218180
483	9331	217866
484	9834	217616
485	10258	217678
486	10742	217355
487	11134	217509
488	11474	217595
489	11804	217858
490	12214	217744
491	12421	217733
492	12947	217817
493	13281	217753
494	13559	218004
495	13708	218161
496	13900	217999
497	14012	218205
498	14218	218137
499	14637	217909
500	15022	217883
501	15240	217894
502	15371	217643
503	15590	217517
504	15608	217731
505	15620	217817
506	15816	217931
507	15982	217968
508	16158	218028
509	16178	218088
510	16374	218099
511	16434	218161
512	17016	218166
513	17120	217788
514	17089	217642
515	17066	217968
516	17206	217955
517	17393	217690
518	17241	217756
519	17147	217658
520	17120	217848
521	16763	217731
522	16588	217818
523	16423	217513
524	16263	217372
525	15984	217479
526	15899	217484
527	15797	217634
528	15576	217537
529	15382	217628
530	15346	217475
531	15053	217383
532	14936	217273
533	14896	217701
534	14650	217531
535	14492	217866
536	14320	217877
537	14014	218070
538	13883	217999
539	13584	218124
540	13348	218078
541	13015	218482
542	12701	218297
543	12198	218087
544	11781	217942
545	11409	217690
546	11022	217647
547	10504	217518
548	10074	217423
549	9612	217614
550	9318	217878
551	8867	217927
552	8640	218056
553	8318	218043
554	7855	217970
555	7356	217814
556	7127	217650
557	6739	217573
558	6366	217433
559	6194	217527
560	5990	217744
561	5625	217952
562	5490	218370
563	5313	218563
564	5239	218272
565	5079	218049
566	4918	217841
567	4645	217934
568	4452	218044
569	4394	218054
570	4245	218027
571	4047	217787
572	3837	217983
573	3590	217828
574	3393	218025
575	3209	218070
576	3108	218154
577	2894	218175
578	2642	218279
579	2424	218154
580	2233	217856
581	2077	217886
582	1895	217791
583	1764	217773
584	1590	217738
585	1450	217897
586	1298	217869
587	1156	217858
588	1010	218006
589	864	217723
590	741	217521
591	639	218014
592	560	218241
593	474	218231
594	412	218278
595	353	218263
596	270	218260
597	210	218121
598	164	218231
599	125	217904
600	99	217784
601	80	217682
602	66	217679
603	49	217562
604	34	217362
605	26	217696
606	18	217729
607	9	218037
608	11	218012
609	6	218200
610	5	218334
611	3	218573
612	2	218471
613	2	218693
614	2	218690
615	2	218635
616	1	218635
617	2	218917
618	2	219074
619	2	218905
620	1	218855
621	0	218564
622	0	218512
623	0	218187
624	0	218178
625	0	218166
626	0	217954
627	0	217949
628	0	217986
629	0	217809
630	0	217273
631	0	216988
632	0	216992
633	0	217037
634	0	217386
635	0	217472
636	0	217733
637	0	217573
638	0	217414
639	0	217303
640	0	217400
641	0	217424
642	0	217553
643	0	217504
644	0	217341
645	0	217390
646	0	217727
647	0	217873
648	0	217828
649	0	217906
650	0	217734
651	0	217871
652	0	218052
653	0	218108
654	0	218050
655	0	218061
656	0	218406
657	0	218504
658	0	218630
659	0	218757
660	0	218940
661	0	219045
662	0	219170
663	0	219007
664	0	219109
665	0	219158
666	0	219104
667	0	218840
668	0	218831
669	0	218545
670	0	218176
671	0	217877
672	0	217789
673	0	217864
674	0	217725
675	0	217906
676	0	217875
677	0	217637
678	0	217627
679	0	217736
680	0	217755
681	0	217564
682	0	217683
683	0	217921
684	0	217796
685	0	217785
686	0	217580
687	0	217663
688	0	217543
689	0	217510
690	0	217414
691	0	217300
692	0	217339
693	0	217152
694	0	217159
695	0	217264
696	0	217312
697	0	217624
698	0	217695
699	0	217438
700	0	217253
701	0	217186
702	0	217389
703	0	217449
704	0	217641
705	0	217509
706	0	217367
707	0	217506
708	0	217536
709	0	217505
710	0	217549
711	0	217628
712	0	217789
713	0	218003
714	0	218489
715	0	218642
716	0	218772
717	0	218761
718	0	218585
719	0	218321
720	0	218225
721	0	218351
722	0	218253
723	0	218216
724	0	218066
725	0	218142
726	0	217829
727	0	217667
728	0	217698
729	0	217643
730	0	217772
731	0	218038
732	0	218027
733	0	218126
734	0	217972
735	0	217696
736	0	217462
737	0	217416
738	0	217119
739	0	217297
740	0	217047
741	0	217206
742	0	217620
743	0	217615
744	0	217766
745	0	217903
746	0	218040
747	0	217862
748	0	217775
749	0	217885
750	0	217849
751	0	217766
752	0	217750
753	0	217773
754	0	217343
755	0	217226
756	0	217364
757	0	217584
758	0	217482
759	0	217372
760	0	217300
761	0	217225
762	0	217491
763	0	217247
764	0	217138
765	0	217093
766	0	217083
767	0	217282
768	0	217309
769	0	217387
