# jours_ecoules 	 nombreTotalContaminesGrippe 	 nombreTotalContaminesAgentPathogene()
436	0	217087
437	0	217154
438	15	217202
439	24	217158
440	29	217078
441	41	217373
442	57	217517
443	62	217684
444	92	217780
445	139	217735
446	181	217866
447	225	217909
448	299	217976
449	412	218152
450	519	218139
451	674	218149
452	878	218635
453	1113	218524
454	1355	218402
455	1666	218255
456	1945	218090
457	2314	218153
458	2703	218023
459	3147	218166
460	3589	218165
461	4055	218248
462	4488	218214
463	4929	218059
464	5354	218025
465	5727	218025
466	6040	217859
467	6466	217882
468	6867	217674
469	7304	217689
470	7847	217898
471	8218	218128
472	8569	218222
473	8969	218237
474	9269	218062
475	9476	217841
476	9878	217949
477	10240	218009
478	10651	218061
479	11049	218142
480	11479	218214
481	11796	218162
482	12305	218136
483	12450	218187
484	12674	218232
485	13123	218325
486	13427	218315
487	13749	218383
488	14155	218374
489	14532	218522
490	15004	218481
491	15429	218637
492	15652	218411
493	16013	218241
494	16468	218262
495	16796	218135
496	17129	218107
497	17495	218134
498	17887	218196
499	18174	217923
500	18449	217824
501	18771	217698
502	19092	217515
503	19213	217369
504	19300	217630
505	19347	217479
506	19504	217494
507	19550	217570
508	19564	217658
509	19516	217805
510	19322	217648
511	19384	217609
512	19306	217598
513	19134	217769
