# jours_ecoules 	 nombreTotalContaminesGrippe 	 nombreTotalContaminesAgentPathogene()
429	0	217694
430	0	217878
431	0	218039
432	0	217801
433	0	217861
434	0	217793
435	0	217830
436	0	217852
437	0	217718
438	11	217726
439	13	217794
440	18	217567
441	22	217519
442	35	217605
443	52	217496
444	63	217648
445	98	217754
446	124	218065
447	153	218132
448	207	217981
449	236	217957
450	291	218186
451	354	218348
452	438	218136
453	534	218251
454	648	218183
455	775	218305
456	887	218419
457	1078	218336
458	1290	218416
459	1528	218227
460	1711	218141
461	1915	218034
462	2173	218246
463	2392	218480
464	2602	218528
465	2814	218655
466	3106	218280
467	3262	218422
468	3497	218491
469	3673	218563
470	3890	218534
471	4103	218176
472	4275	218039
473	4530	218380
474	4708	218217
475	4947	218195
476	5218	218216
477	5465	218129
478	5744	217935
479	6093	218091
480	6294	218286
481	6548	218132
482	6867	218355
483	7044	218210
484	7287	218211
485	7504	218169
486	7788	218248
487	8115	218087
488	8345	218246
489	8622	218113
490	8901	218162
491	9133	218134
492	9416	217934
493	9643	218169
494	9817	217873
495	9895	217915
496	10111	217982
497	10254	217915
498	10477	217979
499	10615	218143
500	10839	218033
501	11048	218085
502	11294	217895
503	11648	217655
504	11811	217618
505	11988	217563
506	12292	217494
507	12451	217506
508	12628	217463
509	12839	217421
510	12990	217490
511	13089	217606
512	13216	217514
513	13226	217672
514	13288	217671
515	13458	217722
516	13600	217881
517	13725	217764
518	13977	217685
519	14073	217538
520	14053	217307
521	14167	217329
522	14117	217287
523	14140	217516
524	14137	217778
525	14198	217786
526	14397	217646
527	14364	217750
528	14406	217807
529	14410	217707
530	14452	217663
531	14342	217853
532	14231	217939
533	14302	217748
534	14287	217787
535	14293	217477
536	14255	217141
537	14156	217132
538	14087	216965
539	13875	216858
540	13741	216865
541	13508	216913
542	13360	217039
543	13210	216931
544	12981	217278
545	12673	217291
546	12462	217250
547	12174	217496
548	11945	217446
549	11676	217461
550	11361	217386
551	11291	217581
552	10982	217661
553	10862	217846
554	10662	217878
555	10519	217847
556	10372	217727
557	10194	217821
558	10049	217752
