# jours_ecoules 	 nombreTotalContaminesGrippe 	 nombreTotalContaminesAgentPathogene()
1	0	79981
2	0	80183
3	0	85864
4	0	92521
5	0	99447
6	0	106868
7	0	114505
8	0	122588
9	0	131031
10	0	139619
11	0	148432
12	0	157394
13	0	166535
14	0	175714
15	0	184440
16	0	192884
17	0	200430
18	0	207209
19	0	213132
20	0	217980
21	0	221572
22	0	224178
23	0	225821
24	0	226524
25	0	226653
26	0	226168
27	0	225556
28	0	224634
29	0	223774
30	0	222949
31	0	222244
32	0	221093
33	0	220313
34	0	219803
35	0	219096
36	0	219050
37	0	218451
38	0	218296
39	0	218156
40	0	217864
41	0	217414
42	0	217161
43	0	217021
44	0	216758
45	0	216545
46	0	216451
47	0	216404
48	0	216225
49	0	216259
50	0	216059
51	0	216112
52	0	216205
53	0	216158
54	0	216189
55	0	216208
56	0	216316
57	0	216731
58	0	216844
59	0	217004
60	0	217306
61	0	217396
62	0	217379
63	0	217363
64	0	217391
65	0	217409
66	0	217646
67	0	217710
68	0	217783
69	0	217581
70	0	217750
71	0	217814
72	0	218192
73	19	218051
74	25	217879
75	29	217719
76	55	217781
77	64	217897
78	81	217784
79	111	218082
80	156	217972
81	193	217913
82	245	218050
83	333	218017
84	442	218146
85	546	218015
86	689	218049
87	858	217946
88	1070	217737
89	1262	217882
90	1554	217980
91	1828	217878
92	2142	218030
93	2484	218041
94	2834	218040
95	3136	217880
96	3439	218004
97	3867	218021
98	4263	218015
99	4646	217780
100	5135	217759
101	5583	217772
102	5964	217716
103	6405	217840
104	6832	217908
105	7232	217979
106	7703	218086
107	8072	218080
108	8604	218203
109	9056	217988
110	9523	217907
111	9901	217995
112	10303	217813
113	10670	217775
114	11076	217612
115	11441	217832
116	11892	217839
117	12297	217650
118	12620	217807
119	12937	217841
120	13163	217699
121	13665	217756
122	14005	217800
123	14342	217732
124	14507	217653
125	14625	217674
126	15003	217750
127	15282	217636
128	15388	217751
129	15659	217878
130	15851	217869
131	16164	217621
132	16236	217531
133	16396	217525
134	16575	217471
135	16676	217515
136	16841	217786
137	16972	217660
138	17003	217760
139	17175	217806
140	17034	217885
141	17100	218150
142	17172	218286
143	17302	218090
144	17410	218070
145	17442	218123
146	17588	217971
147	17572	217838
148	17829	217912
149	17733	217991
150	17785	218018
151	17600	217994
152	17504	217866
153	17473	217850
154	17440	217987
155	17373	218136
156	17214	218185
157	17136	218056
158	16998	218184
159	16830	218131
160	16683	217908
161	16445	217883
162	16260	217975
163	16073	217964
164	15783	217928
165	15271	217840
166	14822	217870
167	14388	217692
168	13855	217541
169	13537	217371
